Date,Site,Rep,Treatment,Photo_ID,Total_Area,Bare_Rock_Percent,Fleshy_algae,Algal_crust,Chthamalus,Amphibalanus,Corraline_algae,Tetraclita,Megabalanus,Tetraclita_dead,Dark Brown Barnacle (look up later),Crab
3/13/24,North,7,Cage,,115.618,0.995130516,0.21,0.353,,,,,,,,
3/13/24,North,7,Roof,,135.591,0.999476366,,0.071,,,,,,,,
3/12/24,South,1,Control,,111.759,0.981925393,1.21,0.599,,0.211,,,,,,
3/12/24,South,1,Cage,,108.302,0.958615723,,4.482,,,,,,,,
3/12/24,South,1,Roof,,113.624,0.908901288,9.065,1.286,,,,,,,,
3/12/24,South,3,Control,,,100,,,,,,,,,,
3/12/24,South,2,Control,,115.958,0.718742993,3.348,29.204,,0.062,,,,,,
3/12/24,South,2,Cage,,101.087,0.573891796,5.507,36.753,,0.062,0.752,,,,,
3/12/24,South,2,Roof,,117.123,0.820146342,1.31,19.755,,,,,,,,
3/12/24,South,3,Cage,,127.373,0.986111656,,1.666,,,0.103,,,,,
3/12/24,South,3,Roof,,114.259,0.987362046,,1.307,,,0.137,,,,,
3/12/24,South,4,Control,,134.94,0.998036164,,0.265,,,,,,,,
3/12/24,South,4,Cage,,99.36,0.996155395,,0.382,,,,,,,,
3/12/24,South,4,Roof,,128.525,0.994514686,,0.705,,,,,,,,
3/12/24,South,5,Control,,100.186,0.840446769,0.346,15.578,,,0.061,,,,,
3/12/24,South,5,Cage,,105.051,0.719707571,17.839,11.522,,,,,0.084,,,
3/12/24,South,6,Control,,120.65,0.643580605,19.415,23.394,,,,0.108,0.085,,,
3/12/24,South,6,Cage,,124.45,0.918794697,8.291,1.204,,,0.055,0.249,0.307,,,
3/12/24,South,6,Roof,,110.069,0.731550209,3.944,25.037,,,,0.241,0.326,,,
3/12/24,South,7,Control,,111.722,0.995748375,,0.258,,,,,,0.217,,
3/12/24,South,7,Cage,,104.184,0.985736773,,1.486,,,,,,,,
3/12/24,South,7,Roof,,88.089,0.973867339,1.83,0.472,,,,,,,,
4/10/24,South,1,Control,,122.509,0.086132447,2.401,109.556,,,,,,,,
4/10/24,South,1,Cage,,96.165,0.651837987,,26.928,,,,,,,6.237,0.316
4/10/24,South,1,Roof,,108.738,0.723380971,0.791,13.799,,,15.489,,,,,
4/10/24,South,2,Control,,119.074,0.164897459,,98.798,,,,,0.641,,,
4/10/24,South,2,Cage,,116.19,0.468663396,14.652,0.234,,5.304,41.546,,,,,
4/10/24,South,2,Roof,,97.651,0.441357487,2.884,1.308,,1.962,48.08,,0.318,,,
4/10/24,South,3,Control,,110.703,0.982556932,0.434,0.519,0.437,,,,,,0.541,
4/10/24,South,3,Cage,,108.43,0.881979157,,9.149,,,,,,,3.648,
4/10/24,South,3,Roof,,108.725,0.774688434,1.473,13.853,,,,,0.227,,8.944,
4/10/24,South,4,Control,,105.397,0.946061083,,5.663,,,,,,,0.022,
4/10/24,South,4,Cage,,111.028,0.400196347,,56.333,,,,,,,10.262,
4/10/24,South,4,Roof,,124.751,0.817692844,0.25,11.887,,,,,,,10.606,
,,5,Control,,89.537,0.448998738,16.133,30.238,0.056,,1.722,,0.789,,0.397,
,,5,Cage,,109.575,0.521889117,27.538,14.618,,1.981,6.966,,1.286,,,
,,5,Roof,,117.48,0.345531154,28.769,1.172,,,46.946,,,,,
,,6,Control,,121.287,0.297904969,77.015,1.58,0.214,,,,6.346,,,
,,6,Roof,,113.579,0.497864922,9.46,,0.096,3.106,41.032,,3.338,,,
